id;name;resource_type;status
1;once;frozen snack;although so
2;now after gosh;reopen;whoever
3;concerning psst recent;near;oddly vista
4;insolence;wilted geez;fooey
5;sentimental;fooey energetic;publication outfit ew
6;if;drat;even clear-cut kindly
7;blah;maroon pfft torn;linseed
8;convalesce tough;dead department gadzooks;gee up hence
9;likewise blissfully;aw yahoo vicinity;palate modulo sweetly
10;aw fooey innovation;well-lit;traduce amidst popularize
11;specific pry seagull;sugary;fly courageously abseil
12;tremendously;concentration unibody;during
13;poor;versus perfumed whoa;than trusting inquisitively
14;after madly upsell;marvelous;omelet considerate
15;instead miserable claw;synthesise even;that
16;who;than for;a
17;overcook noisily bossy;at oof now;aha molasses bicycle
18;unabashedly inasmuch forenenst;lest nor density;super viciously
19;ick front;proper;expatiate patiently
20;than;furiously monster;outrun delight
21;aboard hence;than while;including lumpy
22;about disapprove where;slump quick;nervously intellect if
23;bitterly unfinished promise;stint;hypothesise coolly
24;whose woefully an;husk adolescent;psst onto
25;vice than gah;colonialism wilt quiet;confused uh-huh urgently
26;beyond limply;knavishly dead well;apropos instructor
27;term;parsnip;suspiciously when wearily
28;sternly;evenly;politely carpool including
29;kiddingly;thankfully;tune
30;whose;focused since uh-huh;dead phooey incidentally
